Sequence,Count,Probability
lh,5094472,0.270
caddi,3017206,0.160
addi,2394187,0.127
bne,2379194,0.126
openasip_base_mac,2228231,0.118
sub,538171,0.029
cadd,307906,0.016
clw,288578,0.015
cmv,219567,0.012
csw,206877,0.011
mul,184442,0.010
cli,178472,0.009
clwsp,165155,0.009
sh,161159,0.009
bltu,149918,0.008
cj,145512,0.008
lw,144424,0.008
srai,144033,0.008
beq,113514,0.006
cbnez,79353,0.004
sltu,72386,0.004
mulhu,72209,0.004
openasip_base_min,72012,0.004
openasip_base_max,72012,0.004
sra,72004,0.004
sll,72002,0.004
cbeqz,32592,0.002
lb,32554,0.002
sb,32471,0.002
sw,32396,0.002
cslli,32137,0.002
openasip_base_shl2add,32129,0.002
xori,32041,0.002
csrai,32018,0.002
caddi4spn,8187,0.000
add,7148,0.000
cswsp,4834,0.000
slli,1065,0.000
andi,809,0.000
cjr,587,0.000
lbu,513,0.000
jal,446,0.000
lui,436,0.000
bgeu,434,0.000
candi,350,0.000
blt,252,0.000
csrli,245,0.000
caddi16sp,208,0.000
clui,201,0.000
cand,164,0.000
cjal,136,0.000
flw,136,0.000
cor,128,0.000
openasip_base_shl1add,125,0.000
remu,72,0.000
fsub_s,67,0.000
and,67,0.000
div,64,0.000
fsgnj_s,59,0.000
fmul_s,57,0.000
fmadd_s,55,0.000
fmv_w_x,53,0.000
bge,52,0.000
fmv_x_w,47,0.000
flt_s,37,0.000
csrrs,36,0.000
cfsdsp,36,0.000
cfldsp,36,0.000
cflw,34,0.000
csub,34,0.000
cxor,33,0.000
srli,27,0.000
fadd_s,26,0.000
fcvt_s_w,23,0.000
fdiv_s,23,0.000
fcvt_w_s,23,0.000
fnmsub_s,22,0.000
auipc,22,0.000
cjalr,19,0.000
ebreak,18,0.000
jalr,16,0.000
sltiu,14,0.000
cnop,13,0.000
lhu,13,0.000
cfsw,12,0.000
fclass_s,12,0.000
fmin_s,12,0.000
fmax_s,12,0.000
ori,11,0.000
cfswsp,6,0.000
cflwsp,6,0.000
or,4,0.000
csrrw,1,0.000
