Sequence,Count,Probability
caddi,1163,0.078
cmv,1074,0.072
cswsp,1066,0.072
clwsp,794,0.053
cli,658,0.044
cadd,633,0.042
beq,572,0.038
addi,522,0.035
clw,514,0.034
lbu,497,0.033
sub,483,0.032
cbeqz,465,0.031
csw,429,0.029
bne,413,0.028
lw,373,0.025
andi,349,0.023
lh,324,0.022
sw,322,0.022
sb,318,0.021
cjr,306,0.021
cbnez,272,0.018
cj,246,0.017
jal,216,0.014
lui,214,0.014
bltu,208,0.014
blt,193,0.013
bgeu,183,0.012
caddi16sp,175,0.012
mul,152,0.010
openasip_base_mac,148,0.010
slli,140,0.009
sltu,132,0.009
cjal,100,0.007
cor,96,0.006
add,84,0.006
mulhu,79,0.005
cslli,74,0.005
xori,73,0.005
and,69,0.005
caddi4spn,60,0.004
csrli,60,0.004
srai,60,0.004
sh,56,0.004
bge,52,0.003
csrai,45,0.003
remu,40,0.003
cand,40,0.003
openasip_base_max,39,0.003
openasip_base_min,39,0.003
lb,39,0.003
csrrs,36,0.002
cxor,29,0.002
csub,28,0.002
candi,24,0.002
cjalr,19,0.001
clui,18,0.001
ebreak,18,0.001
lhu,13,0.001
cnop,13,0.001
auipc,12,0.001
ori,11,0.001
jalr,6,0.000
or,4,0.000
openasip_base_shl2add,4,0.000
sltiu,3,0.000
srli,3,0.000
sll,2,0.000
csrrw,1,0.000
