Sequence,Count,Probability
flw,8340314,0.284
fmadd_s,4548608,0.155
cflw,3981172,0.135
fsw,3539008,0.120
addi,2888779,0.098
cadd,1895659,0.064
add,991458,0.034
caddi,721105,0.025
bne,643194,0.022
cflwsp,400192,0.014
lui,235571,0.008
lw,233135,0.008
clwsp,189702,0.006
openasip_base_shl2add,129017,0.004
csw,117945,0.004
fmv_x_w,78720,0.003
flt_s,78720,0.003
fsgnj_s,60697,0.002
sw,57124,0.002
beq,51661,0.002
cbnez,49963,0.002
fadd_s,40714,0.001
cj,32267,0.001
cfsw,19178,0.001
cmv,14110,0.000
jal,11256,0.000
bltu,9991,0.000
clw,7442,0.000
cfswsp,6085,0.000
cli,4019,0.000
mul,3239,0.000
cswsp,2428,0.000
sub,1509,0.000
csrli,1177,0.000
mulhu,1141,0.000
caddi4spn,1100,0.000
slli,1083,0.000
openasip_base_mac,612,0.000
cslli,521,0.000
ori,521,0.000
lbu,513,0.000
cbeqz,469,0.000
andi,365,0.000
cjr,309,0.000
sb,307,0.000
blt,193,0.000
bgeu,187,0.000
caddi16sp,185,0.000
sltu,158,0.000
cor,128,0.000
cjal,96,0.000
lh,86,0.000
remu,72,0.000
and,65,0.000
bge,52,0.000
cand,44,0.000
xori,39,0.000
csrrs,36,0.000
cxor,33,0.000
csub,28,0.000
clui,26,0.000
candi,24,0.000
srai,21,0.000
srli,19,0.000
cjalr,19,0.000
ebreak,18,0.000
sh,17,0.000
cfsdsp,14,0.000
cfldsp,14,0.000
lhu,13,0.000
cnop,13,0.000
auipc,11,0.000
fmv_w_x,7,0.000
csrai,6,0.000
jalr,5,0.000
or,4,0.000
sltiu,2,0.000
sll,2,0.000
csrrw,1,0.000
