Sequence,Count,Probability
lh,4672182,0.561
sub,1997533,0.240
openasip_base_mac,535723,0.064
addi,257544,0.031
clwsp,206671,0.025
bne,101295,0.012
cadd,84793,0.010
caddi,76766,0.009
cmv,63286,0.008
cli,32690,0.004
mul,28022,0.003
bltu,21755,0.003
beq,20496,0.002
cj,20127,0.002
srai,19697,0.002
sh,18251,0.002
lw,16437,0.002
clw,14233,0.002
openasip_base_shl1add,11202,0.001
mulhu,10260,0.001
cbnez,10061,0.001
sltu,10058,0.001
xori,9929,0.001
openasip_base_min,9916,0.001
openasip_base_max,9916,0.001
sra,9770,0.001
sll,9762,0.001
cswsp,8977,0.001
csw,8381,0.001
csrai,8002,0.001
cslli,7962,0.001
openasip_base_shl2add,5778,0.001
lb,2554,0.000
sb,2375,0.000
add,2032,0.000
sw,580,0.000
lbu,521,0.000
cbeqz,499,0.000
lui,448,0.000
csrli,388,0.000
andi,387,0.000
srli,371,0.000
cjr,360,0.000
caddi4spn,342,0.000
csub,310,0.000
blt,280,0.000
jal,223,0.000
bgeu,208,0.000
caddi16sp,195,0.000
slli,184,0.000
cjal,147,0.000
flw,133,0.000
cor,120,0.000
candi,90,0.000
fsub_s,68,0.000
and,66,0.000
remu,64,0.000
fsgnj_s,59,0.000
fmul_s,56,0.000
fmadd_s,54,0.000
fmv_w_x,53,0.000
bge,52,0.000
cand,52,0.000
fmv_x_w,47,0.000
flt_s,37,0.000
csrrs,36,0.000
cfsdsp,36,0.000
cfldsp,36,0.000
cflw,35,0.000
cxor,29,0.000
fadd_s,26,0.000
ori,25,0.000
fdiv_s,23,0.000
fcvt_s_w,22,0.000
fcvt_w_s,22,0.000
fnmsub_s,21,0.000
clui,20,0.000
cjalr,19,0.000
ebreak,18,0.000
sltiu,14,0.000
lhu,13,0.000
cnop,13,0.000
cfsw,12,0.000
fclass_s,12,0.000
fmin_s,12,0.000
fmax_s,12,0.000
auipc,11,0.000
cfswsp,6,0.000
cflwsp,6,0.000
jalr,5,0.000
or,4,0.000
xor,1,0.000
csrrw,1,0.000
