Sequence,Count,Probability
caddi,1119,0.076
cmv,1081,0.074
cswsp,1070,0.073
clwsp,795,0.054
cli,649,0.044
beq,571,0.039
clw,544,0.037
cadd,499,0.034
lbu,497,0.034
csw,495,0.034
addi,494,0.034
cbeqz,465,0.032
bne,396,0.027
sub,361,0.025
andi,349,0.024
sw,347,0.024
lw,340,0.023
cjr,305,0.021
cbnez,290,0.020
sb,283,0.019
flw,278,0.019
cj,246,0.017
bltu,223,0.015
jal,216,0.015
lui,215,0.015
fmadd_s,198,0.014
blt,193,0.013
bgeu,183,0.013
caddi16sp,178,0.012
slli,140,0.010
mul,100,0.007
cjal,99,0.007
fadd_s,97,0.007
cor,96,0.007
sltu,94,0.006
lh,86,0.006
add,84,0.006
cslli,74,0.005
caddi4spn,61,0.004
and,61,0.004
csrli,60,0.004
bge,52,0.004
cflw,50,0.003
cand,40,0.003
mulhu,40,0.003
remu,40,0.003
csrrs,36,0.002
xori,35,0.002
fsw,31,0.002
cfsw,30,0.002
cxor,29,0.002
csub,28,0.002
candi,24,0.002
srai,21,0.001
cjalr,19,0.001
fmin_s,18,0.001
ebreak,18,0.001
flt_s,18,0.001
sh,17,0.001
cfldsp,16,0.001
cfsdsp,16,0.001
clui,16,0.001
lhu,13,0.001
cnop,13,0.001
fmul_s,12,0.001
auipc,12,0.001
ori,11,0.001
fmv_w_x,10,0.001
csrai,6,0.000
jalr,6,0.000
openasip_base_shl2add,5,0.000
or,4,0.000
cfswsp,3,0.000
cflwsp,3,0.000
srli,3,0.000
sltiu,2,0.000
sll,2,0.000
csrrw,1,0.000
