Sequence,Count,Probability
flw,81473,0.283
fmadd_s,62030,0.216
cflw,47003,0.163
caddi,11692,0.041
csw,10881,0.038
flt_s,7469,0.026
fmv_x_w,7466,0.026
clwsp,7457,0.026
cbnez,7025,0.024
fsgnj_s,6968,0.024
beq,4869,0.017
fadd_s,3770,0.013
cj,3554,0.012
openasip_base_shl2add,2596,0.009
sw,2170,0.008
addi,2118,0.007
cmv,1887,0.007
bne,1712,0.006
cswsp,1565,0.005
bltu,1300,0.005
cadd,1298,0.005
mul,908,0.003
lw,890,0.003
sub,790,0.003
slli,714,0.002
cli,685,0.002
clw,678,0.002
cfsw,540,0.002
lbu,513,0.002
cbeqz,483,0.002
csrli,472,0.002
add,471,0.002
mulhu,440,0.002
andi,371,0.001
sb,347,0.001
bgeu,329,0.001
cjr,327,0.001
fsw,284,0.001
lui,271,0.001
jal,218,0.001
blt,203,0.001
caddi16sp,184,0.001
sltu,126,0.000
cor,112,0.000
cjal,108,0.000
cslli,100,0.000
lh,86,0.000
and,61,0.000
caddi4spn,60,0.000
remu,56,0.000
bge,52,0.000
cand,40,0.000
csrrs,36,0.000
xori,35,0.000
csub,30,0.000
cxor,29,0.000
candi,28,0.000
clui,25,0.000
srai,21,0.000
fmv_w_x,19,0.000
cjalr,19,0.000
ebreak,18,0.000
fsub_s,17,0.000
auipc,17,0.000
sh,17,0.000
cfsdsp,15,0.000
cfldsp,15,0.000
lhu,13,0.000
cnop,13,0.000
ori,11,0.000
jalr,11,0.000
fmul_s,8,0.000
srli,7,0.000
fdiv_s,7,0.000
sltiu,6,0.000
csrai,6,0.000
fnmsub_s,5,0.000
or,4,0.000
fclass_s,4,0.000
sll,2,0.000
fcvt_w_s,2,0.000
fcvt_s_w,2,0.000
csrrw,1,0.000
