Sequence,Count,Probability
lh,662046,0.475
openasip_base_mac,344008,0.247
addi,99564,0.071
bne,44714,0.032
cadd,33628,0.024
caddi,29660,0.021
cmv,17773,0.013
cli,15508,0.011
clw,12510,0.009
openasip_base_shl2add,12504,0.009
beq,11422,0.008
cj,10743,0.008
bltu,9200,0.007
mul,8664,0.006
sh,8231,0.006
srai,8025,0.006
lb,5960,0.004
mulhu,4568,0.003
sb,4411,0.003
cbnez,4311,0.003
sltu,4146,0.003
add,4096,0.003
csw,4085,0.003
xori,4038,0.003
sra,4006,0.003
openasip_base_min,4004,0.003
openasip_base_max,4004,0.003
sll,4002,0.003
openasip_base_shl1add,4000,0.003
bgeu,2462,0.002
cswsp,1083,0.001
clwsp,811,0.001
slli,677,0.000
csrli,600,0.000
lbu,521,0.000
cbeqz,489,0.000
sub,429,0.000
andi,387,0.000
lw,342,0.000
cjr,341,0.000
sw,322,0.000
lui,285,0.000
jal,216,0.000
blt,212,0.000
caddi16sp,183,0.000
cor,120,0.000
cjal,117,0.000
cslli,103,0.000
remu,64,0.000
and,64,0.000
caddi4spn,60,0.000
bge,52,0.000
cand,44,0.000
flw,40,0.000
csub,37,0.000
csrrs,36,0.000
candi,33,0.000
cxor,29,0.000
fsgnj_s,23,0.000
clui,23,0.000
fmv_w_x,21,0.000
auipc,20,0.000
fsub_s,19,0.000
cjalr,19,0.000
ebreak,18,0.000
fmul_s,17,0.000
cfldsp,16,0.000
cfsdsp,16,0.000
fmadd_s,15,0.000
fmv_x_w,15,0.000
jalr,14,0.000
flt_s,13,0.000
cnop,13,0.000
lhu,13,0.000
srli,11,0.000
ori,11,0.000
cflw,10,0.000
csrai,10,0.000
fadd_s,10,0.000
fcvt_s_w,7,0.000
fcvt_w_s,7,0.000
fdiv_s,7,0.000
fnmsub_s,6,0.000
sltiu,6,0.000
cfsw,4,0.000
fclass_s,4,0.000
or,4,0.000
fmin_s,4,0.000
fmax_s,4,0.000
csrrw,1,0.000
