Sequence,Count,Probability
lh,170598,0.355
sub,100914,0.210
caddi,32726,0.068
openasip_base_mac,31604,0.066
addi,14187,0.029
cadd,14090,0.029
bne,13270,0.028
lw,9756,0.020
mul,9590,0.020
cmv,7387,0.015
bltu,7128,0.015
cli,6984,0.015
srai,6335,0.013
cbnez,5766,0.012
sh,4809,0.010
mulhu,4018,0.008
lb,3952,0.008
sb,3493,0.007
sltu,3364,0.007
xori,3203,0.007
openasip_base_min,3178,0.007
openasip_base_max,3178,0.007
sll,3138,0.007
sra,3136,0.007
csw,2989,0.006
beq,2161,0.004
cj,1821,0.004
cswsp,1084,0.002
openasip_base_shl2add,816,0.002
clwsp,812,0.002
srli,787,0.002
clw,542,0.001
lbu,513,0.001
cbeqz,507,0.001
andi,391,0.001
sw,322,0.001
cjr,311,0.001
jal,223,0.000
lui,216,0.000
blt,193,0.000
bgeu,186,0.000
caddi16sp,179,0.000
slli,165,0.000
add,127,0.000
cor,112,0.000
cjal,97,0.000
cslli,91,0.000
csrli,84,0.000
cand,70,0.000
and,61,0.000
caddi4spn,60,0.000
remu,56,0.000
bge,52,0.000
csrai,48,0.000
ori,39,0.000
csrrs,36,0.000
cxor,29,0.000
csub,29,0.000
candi,26,0.000
clui,20,0.000
cjalr,19,0.000
ebreak,18,0.000
auipc,14,0.000
cnop,13,0.000
lhu,13,0.000
jalr,8,0.000
or,4,0.000
sltiu,2,0.000
csrrw,1,0.000
