Sequence,Count,Probability
csw,6829,0.108
cflw,4901,0.078
addi,4896,0.077
bne,4782,0.076
cadd,4637,0.073
clw,4606,0.073
cslli,4177,0.066
fadd_s,4118,0.065
fcvt_w_s,4096,0.065
flw,3661,0.058
caddi,2498,0.040
sw,2370,0.038
bltu,1300,0.021
cmv,1084,0.017
cswsp,1063,0.017
clwsp,791,0.013
cli,656,0.010
beq,581,0.009
lbu,505,0.008
cbeqz,476,0.008
sub,380,0.006
andi,355,0.006
lw,338,0.005
cjr,312,0.005
cbnez,294,0.005
fmadd_s,292,0.005
sb,283,0.004
cj,251,0.004
lui,236,0.004
jal,216,0.003
blt,197,0.003
bgeu,186,0.003
caddi16sp,178,0.003
slli,150,0.002
mul,120,0.002
sltu,110,0.002
cjal,106,0.002
cor,104,0.002
add,88,0.001
lh,86,0.001
csrli,74,0.001
and,61,0.001
caddi4spn,60,0.001
bge,52,0.001
remu,48,0.001
mulhu,48,0.001
fsgnj_s,45,0.001
cand,40,0.001
csrrs,36,0.001
xori,35,0.001
clui,32,0.001
cxor,29,0.000
csub,28,0.000
candi,24,0.000
flt_s,23,0.000
srai,21,0.000
fmv_x_w,20,0.000
cjalr,19,0.000
ebreak,18,0.000
cfsw,18,0.000
fmul_s,18,0.000
sh,17,0.000
lhu,13,0.000
cnop,13,0.000
fmv_w_x,12,0.000
ori,11,0.000
auipc,11,0.000
cfsdsp,7,0.000
cfldsp,7,0.000
csrai,6,0.000
fsub_s,5,0.000
srli,5,0.000
jalr,5,0.000
or,4,0.000
sltiu,4,0.000
openasip_base_shl2add,4,0.000
fdiv_s,3,0.000
sll,2,0.000
fclass_s,2,0.000
fsw,2,0.000
fnmsub_s,1,0.000
csrrw,1,0.000
