Sequence,Count,Probability
lh,297206,0.415
openasip_base_mac,266384,0.372
caddi,67551,0.094
bne,33747,0.047
cadd,7565,0.011
addi,3562,0.005
lw,2647,0.004
cswsp,2348,0.003
cli,2277,0.003
sb,1959,0.003
mul,1940,0.003
sltu,1798,0.003
mulhu,1728,0.002
srai,1693,0.002
sh,1689,0.002
csrai,1678,0.002
lb,1672,0.002
openasip_base_min,1672,0.002
openasip_base_max,1672,0.002
clw,1550,0.002
cmv,1549,0.002
sub,1424,0.002
clwsp,1294,0.002
csw,1149,0.002
xori,1067,0.001
sw,1039,0.001
beq,591,0.001
lbu,513,0.001
cbeqz,477,0.001
bltu,380,0.001
andi,357,0.000
cjr,321,0.000
slli,273,0.000
cbnez,272,0.000
cj,259,0.000
lui,253,0.000
jal,217,0.000
blt,193,0.000
caddi16sp,191,0.000
bgeu,183,0.000
add,123,0.000
cor,112,0.000
cjal,105,0.000
cslli,94,0.000
csrli,84,0.000
caddi4spn,67,0.000
and,61,0.000
remu,56,0.000
bge,52,0.000
clui,49,0.000
cand,40,0.000
csrrs,36,0.000
cxor,29,0.000
csub,28,0.000
candi,24,0.000
cjalr,19,0.000
ebreak,18,0.000
lhu,13,0.000
cnop,13,0.000
ori,11,0.000
auipc,11,0.000
jalr,5,0.000
or,4,0.000
openasip_base_shl2add,4,0.000
srli,3,0.000
sltiu,2,0.000
sll,2,0.000
csrrw,1,0.000
