Sequence,Count,Probability
flw,1321807,0.470
fmadd_s,762158,0.271
cflw,225377,0.080
caddi,124144,0.044
bne,59326,0.021
csw,42142,0.015
sw,31977,0.011
fsgnj_s,30948,0.011
fadd_s,27357,0.010
cfsw,26029,0.009
flt_s,24738,0.009
fmv_x_w,24728,0.009
cbnez,24562,0.009
bltu,9397,0.003
add,8938,0.003
fsw,7497,0.003
addi,7417,0.003
lw,7297,0.003
openasip_base_shl2add,7060,0.003
clw,5533,0.002
cadd,5516,0.002
mul,5452,0.002
cmv,4847,0.002
sub,2185,0.001
csrli,1865,0.001
mulhu,1828,0.001
srli,1772,0.001
clwsp,1310,0.000
cswsp,1117,0.000
beq,1070,0.000
cj,718,0.000
cli,692,0.000
lbu,521,0.000
cbeqz,493,0.000
andi,366,0.000
cjr,320,0.000
sb,307,0.000
lui,264,0.000
jal,219,0.000
blt,203,0.000
bgeu,188,0.000
caddi16sp,183,0.000
slli,169,0.000
sltu,142,0.000
cor,120,0.000
cjal,111,0.000
cslli,99,0.000
lh,86,0.000
openasip_base_mac,86,0.000
remu,64,0.000
and,61,0.000
caddi4spn,60,0.000
bge,52,0.000
cand,40,0.000
csrrs,36,0.000
xori,35,0.000
clui,34,0.000
cxor,29,0.000
csub,28,0.000
candi,24,0.000
srai,21,0.000
cjalr,19,0.000
ebreak,18,0.000
sh,17,0.000
cfldsp,16,0.000
cfsdsp,16,0.000
fmv_w_x,15,0.000
lhu,13,0.000
cnop,13,0.000
auipc,12,0.000
ori,11,0.000
sltiu,7,0.000
jalr,6,0.000
csrai,6,0.000
fsub_s,5,0.000
fclass_s,5,0.000
fdiv_s,5,0.000
or,4,0.000
sll,2,0.000
csrrw,1,0.000
